Function Map,,,,,,,,,,,,,,,,,,
Officially Documented Addresses,,Auto-analysis possible functions,,User-guessed functions,,,,,,,,Symgrate,,,,,,
20221112.r2,,Binja,Ghidra,fventuri,,,,nu (0x6E75),,,,Binary Ninja (binja),,radare2,,Ghidra,,Library
address,note,address,address,address,function,guess/fact,notes,address,function,guess/fact,notes,address,signature match,address,signature match,address,signature match,
,,,,,,,,08000000,bootloader start address,g,based on G90 & STM32,,,,,,,
0x08020000,f _base,,,,,,,,,,,,,,,,,
,,sub_802d750,FUN_0802d750,0802d750,I2C_StretchClockCmd,,,,,,,,,,,,,
,,sub_802d768,FUN_0802d768,0802d768,I2C_SendData,,,,,,,,,,,,,
,,sub_802d76c,FUN_0802d76c,0802d76c,I2C_ReceiveData,,,,,,,,,,,,,
,,sub_802d774,FUN_0802d774,0802d774,I2C_ITConfig,,,,,,,,,,,,,
,,sub_802d788,FUN_0802d788,0802d788,I2C_CheckEvent,,,,,,,,,,,,,
,,sub_802d7a0,FUN_0802d7a0,0802d7a0,I2C_GetFlagStatus,,,,,,,,,,,,,
,,sub_802d7d8,FUN_0802d7d8,0802d7d8,I2C_GetITStatus,,,,,,,,,,,,,
,,sub_802d7f4,FUN_0802d7f4,,,,,,,,,,,,,,,
,,sub_802d7fc,FUN_0802d7fc,,,,,,,,,,,,,,,
,,sub_802d808,FUN_0802d808,,,,,,,,,,,,,,,
,,sub_802d898,FUN_0802d898,0802d898,RCC_AHB1PeriphClockCmd,,,,,,,,,,,,,
,,sub_802d8b0,FUN_0802d8b0,0802d8b0,RCC_APB1PeriphClockCmd,,,,,,,,,,,,,
,,sub_802d8c8,FUN_0802d8c8,0802d8c8,RCC_APB2PeriphClockCmd,,,,,,,,,,,,,
,,sub_802d8e0,FUN_0802d8e0,0802d8e0,RCC_APB1PeriphResetCmd,,,,,,,,,,,,,
,,sub_802d8f8,FUN_0802d8f8,,,,,,,,,,,,,,,
,,sub_802d910,FUN_0802d910,,,,,,,,,,,,,,,
,,sub_802d950,FUN_0802d950,,,,,,,,,,,,,,,
,,sub_802da2c,FUN_0802da2c,,,,,,,,,,,,,,,
